tag,lat,lon
Children_at_play,39.7993494,-89.7236155
Children_at_play,37.8826075,-122.2615473
Children_at_play,39.8181095,-89.6572625
Children_at_play,39.782462,-89.6614184
Children_at_play,39.7605472,-89.7295396
Children_at_play,39.7926037,-89.693353
Children_at_play,39.8273387,-89.6233829
Children_at_play,39.8070492,-89.7014128
Children_at_play,39.8072607,-89.7011234
Children_at_play,39.8074378,-89.7005496
Children_at_play,39.7825855,-89.728867
Children_at_play,39.8306124,-89.6202021
Children_at_play,39.8004446,-89.6985769
Children_at_play,39.7867418,-89.6512025
Children_at_play,39.7569506,-89.688751
Children_at_play,39.7919994,-89.6704027
Children_at_play,39.7940293,-89.6705636
Children_at_play,39.7943467,-89.6704323
Children_at_play,39.776844,-89.7006681
Children_at_play,39.8260323,-89.6206676
Children_at_play,39.8309036,-89.6225594
Children_at_play,39.7671616,-89.6228647
Children_at_play,39.8010856,-89.6271345
Children_at_play,39.7795324,-89.6244601
Children_at_play,39.7802727,-89.6243392
Children_at_play,39.782884,-89.6238623
Children_at_play,39.760584,-89.616508
Children_at_play,39.753875,-89.6162499
Children_at_play,39.8244131,-89.6165408
Children_at_play,39.8243055,-89.6174554
Children_at_play,39.7711273,-89.6473191
Children_at_play,39.7807432,-89.7307447
Children_at_play,39.7816045,-89.7289235
Children_at_play,39.7792058,-89.6640437
Children_at_play,39.7721458,-89.6763025
Children_at_play,39.7771759,-89.6712218
Children_at_play,39.7786974,-89.6713536
Children_at_play,39.7826507,-89.6713101
Children_at_play,39.8124284,-89.6633818
Children_at_play,39.7835182,-89.6170422
Children_at_play,39.7613237,-89.6154651
Children_at_play,39.8112678,-89.6269959
Children_at_play,39.7713958,-89.641982
Children_at_play,39.7805833,-89.6511994
Children_at_play,39.7838476,-89.6642983
Children_at_play,39.7832813,-89.6641237
Children_at_play,39.7828481,-89.6641218
Children_at_play,39.7808495,-89.6642257
Children_at_play,39.7829725,-89.6627262
Children_at_play,39.7751277,-89.6625333
Children_at_play,39.7504581,-89.6991813
Children_at_play,39.750774,-89.6995497
Children_at_play,39.7960305,-89.6650459
Children_at_play,39.7490756,-89.7002667
Children_at_play,39.7789768,-89.6557619
Children_at_play,39.779351,-89.652963
Children_at_play,39.7820612,-89.6454581
Children_at_play,39.7691842,-89.7109541
Children_at_play,39.7946889,-89.6916927
Children_at_play,39.772987,-89.7134864
Children_at_play,39.7970102,-89.6392681
Children_at_play,39.7854027,-89.636562
Children_at_play,39.8035903,-89.7215623
Children_at_play,39.7938644,-89.6546622
Children_at_play,39.7849326,-89.6533661
Children_at_play,39.7623308,-89.6121626
Children_at_play,39.801377,-89.6694608
Children_at_play,39.801843,-89.6694449
Children_at_play,39.7975363,-89.6924406
Children_at_play,39.7554958,-89.7026812
Children_at_play,39.8122426,-89.6365894
Children_at_play,39.785922,-89.7257913
Children_at_play,39.7920878,-89.6750308
Children_at_play,39.7715048,-89.7016925
Children_at_play,39.794542,-89.6648748
Children_at_play,39.812356,-89.6650934
Children_at_play,39.8126632,-89.6649774
Children_at_play,39.8178339,-89.6558256
Children_at_play,39.7830768,-89.6549643
Children_at_play,39.6811894,-89.6395462
Children_at_play,39.7928722,-89.6962295
Children_at_play,39.7747083,-89.6874743
Children_at_play,39.7924963,-89.6590982
Children_at_play,39.7934336,-89.6589384
Children_at_play,39.8124255,-89.6475202
Children_at_play,39.8122047,-89.6461051
Children_at_play,39.8174338,-89.6606519
Children_at_play,39.6818001,-89.6811197
Children_at_play,39.7751337,-89.6596457
Children_at_play,39.7755292,-89.6595179
Children_at_play,39.8100982,-89.6344618
Children_at_play,39.817479,-89.6183855
Children_at_play,39.7995447,-89.6666433
Children_at_play,39.7529012,-89.6125764
Children_at_play,39.8140617,-89.6364587
Children_at_play,39.8097772,-89.6603681
Children_at_play,39.7842305,-89.6453972
Children_at_play,39.8003474,-89.6934167
Children_at_play,39.7998631,-89.6957616
Children_at_play,39.7940141,-89.6770566
Children_at_play,39.8949994,-89.6116857
Children_at_play,39.7825435,-89.6676206
Children_at_play,39.7573207,-89.6542341
Children_at_play,39.7938368,-89.6744521
Children_at_play,39.7924076,-89.6742575
Children_at_play,39.7935194,-89.6270874
Children_at_play,39.7935171,-89.6247621
Children_at_play,39.7588596,-89.612018
Children_at_play,39.7890313,-89.6677747
Children_at_play,39.7687197,-89.6460175
Children_at_play,39.8086463,-89.6107026
Children_at_play,39.7787465,-89.6655525
Children_at_play,39.7790355,-89.6728835
Children_at_play,39.7793055,-89.6583566
Children_at_play,39.7793124,-89.6263532
Children_at_play,39.796315,-89.6907382
Children_at_play,39.7975738,-89.6910979
Children_at_play,39.7951155,-89.6781858
Children_at_play,39.795635,-89.6867792
Children_at_play,39.7858663,-89.6367211
Children_at_play,39.8078261,-89.6650526
Children_at_play,39.8079288,-89.6639687
Children_at_play,39.7939482,-89.6757853
Children_at_play,39.7827025,-89.6456118
Children_at_play,39.7987746,-89.6777941
Children_at_play,39.782925,-89.6570541
Children_at_play,39.7934128,-89.6611619
Children_at_play,39.7825513,-89.6585835
Children_at_play,39.8246548,-89.6461614
Children_at_play,39.8256965,-89.6452308
Children_at_play,39.8236262,-89.6461035
Children_at_play,39.7964039,-89.6664325
Children_at_play,39.8113999,-89.6608963
Children_at_play,39.7941137,-89.6664993
Children_at_play,39.79402,-89.6693956
Children_at_play,39.8035707,-89.6651602
Children_at_play,39.7878243,-89.6579246
Children_at_play,39.7857992,-89.6551513
Children_at_play,39.7891674,-89.6636577
Children_at_play,39.8223325,-89.6319799
Children_at_play,39.7718192,-89.7496767
Children_at_play,39.8134221,-89.6216826
Children_at_play,39.8144398,-89.6216451
Children_at_play,39.8174226,-89.6246549
Children_at_play,39.8178109,-89.6321719
Children_at_play,39.7789063,-89.6597059
Children_at_play,39.7792846,-89.6595811
Children_at_play,39.7816478,-89.6558198
Children_at_play,39.7635216,-89.6525735
Children_at_play,39.778577,-89.7263683
Children_at_play,39.781523,-89.7250333
Children_at_play,39.7926336,-89.6199244
Children_at_play,39.7907222,-89.614601
Children_at_play,39.7714176,-89.7419495
Children_at_play,39.7765633,-89.7387895
Children_at_play,39.7761957,-89.7381328
Children_at_play,39.776182,-89.7348829
Children_at_play,39.8159355,-89.5947013
Children_at_play,39.8145558,-89.5940381
Children_at_play,39.8140837,-89.593986
Children_at_play,39.8140844,-89.5945343
Children_at_play,39.8149318,-89.5953569
Children_at_play,39.8145925,-89.5958143
Children_at_play,39.8136749,-89.5949783
Children_at_play,39.8142385,-89.5951534
Children_at_play,39.7717308,-89.6667026
Children_at_play,39.826166,-89.6178564
Children_at_play,39.7691746,-89.6471468
Children_at_play,39.7867297,-89.6762214
Children_at_play,39.8146655,-89.6705579
Children_at_play,39.8108268,-89.6164506
Children_at_play,39.7969657,-89.7437236
Children_at_play,39.810953,-89.6921509
Children_at_play,39.8103904,-89.6902938
Children_at_play,39.7575537,-89.6230209
Children_at_play,39.8354899,-89.5544086
Children_at_play,39.8292783,-89.6481655
Children_at_play,39.8306934,-89.6483017
Children_at_play,39.7460333,-89.6954359
Children_at_play,39.7571049,-89.692666
Children_at_play,39.80265,-89.676262
Children_at_play,39.8001583,-89.6693233
Children_at_play,39.8086438,-89.6136726
Children_at_play,39.8088615,-89.6127003
Children_at_play,39.8144389,-89.654833
Children_at_play,39.786912,-89.7113296
Children_at_play,39.8603417,-89.6162295
Children_at_play,39.7826809,-89.6760728
Children_at_play,39.882532,-89.6057538
Children_at_play,39.8488718,-89.5332497
Children_at_play,39.6791269,-89.6820774
Children_at_play,39.6790267,-89.680953
Children_at_play,39.8524587,-89.5410583
Children_at_play,39.7916584,-89.5347294
Children_at_play,39.7511434,-89.5519954
Children_at_play,39.7612486,-89.5816064
Children_at_play,39.7041482,-89.6203011
Children_at_play,39.8892577,-89.609577
Children_at_play,39.8524367,-89.5472857
Children_at_play,39.6724251,-89.7175538
Children_at_play,39.6819004,-89.682817
Children_at_play,39.6631799,-89.7048075
Children_at_play,39.9250878,-89.6735367
Children_at_play,39.9288152,-89.67368
Children_at_play,39.689443,-89.6369888
Children_at_play,39.8183844,-89.7069747
Children_at_play,39.6258405,-89.6721925
Children_at_play,39.6258046,-89.6699513
Children_at_play,39.6277567,-89.6667756
Children_at_play,39.6295425,-89.6667462
Children_at_play,39.9539944,-89.5341311
Children_at_play,39.953999,-89.5367428
Children_at_play,39.80979,-89.394388
Children_at_play,39.954539,-89.5409765
Children_at_play,39.8509412,-89.255163
Children_at_play,39.9540971,-89.5538126
Children_at_play,39.9531956,-89.55053
Children_at_play,39.7254408,-89.6520521
Children_at_play,39.848616,-89.545451
Children_at_play,39.8244305,-89.6912977
Children_at_play,39.8247632,-89.6905196
Children_at_play,39.7943667,-89.6698634
Children_at_play,39.7541023,-89.5808103
Children_at_play,39.7012976,-89.7016279
Children_at_play,39.697381,-89.7017931
Children_at_play,39.7467063,-89.6940481
Children_at_play,39.7667207,-89.7330714
Children_at_play,39.7668517,-89.7304941
Children_at_play,39.7400911,-89.6539931
Children_at_play,39.7169958,-89.6354346
Children_at_play,39.80203,-89.7297433
Children_at_play,39.8068158,-89.7297571
Children_at_play,39.8075606,-89.7297406
Children_at_play,39.8087744,-89.7298321
Children_at_play,39.8758305,-89.6266325
Children_at_play,39.8745467,-89.6242938
Children_at_play,39.6718751,-89.675122
Children_at_play,40.9164469,-81.0961579
Children_at_play,39.7935038,-89.7833269
Children_at_play,39.6723531,-89.6968744
Children_at_play,39.7772817,-89.6581562
Children_at_play,39.8310028,-89.6506763
Children_at_play,39.6848175,-89.639111
Children_at_play,33.9302212,-83.6357832
Children_at_play,39.8425146,-89.6069327
Children_at_play,39.7194861,-89.6712958
